date,rainfall_mm
1981-01-01,1.06
1981-01-06,1.01
1981-01-11,0.95
1981-01-16,1.43
1981-01-21,1.35
1981-01-26,1.22
1981-02-01,2.14
1981-02-06,7.39
1981-02-11,1.26
1981-02-16,2.04
1981-02-21,3.97
1981-02-26,1.47
1981-03-01,15.75
1981-03-06,3.96
1981-03-11,5.29
1981-03-16,8.61
1981-03-21,11.75
1981-03-26,15.75
1981-04-01,5.44
1981-04-06,0.78
1981-04-11,15.11
1981-04-16,8.18
1981-04-21,4.85
1981-04-26,6.19
1981-05-01,11.16
1981-05-06,56.66
1981-05-11,28.11
1981-05-16,49.65
1981-05-21,17.26
1981-05-26,33.64
1981-06-01,9.94
1981-06-06,18.25
1981-06-11,63.83
1981-06-16,26.08
1981-06-21,27.53
1981-06-26,68.25
1981-07-01,5.41
1981-07-06,1.64
1981-07-11,0.81
1981-07-16,32.49
1981-07-21,6.09
1981-07-26,61.17
1981-08-01,25.76
1981-08-06,16.68
1981-08-11,9.89
1981-08-16,6.43
1981-08-21,8.45
1981-08-26,39.8
1981-09-01,33.93
1981-09-06,3.93
1981-09-11,1.18
1981-09-16,1.53
1981-09-21,13.04
1981-09-26,1.88
1981-10-01,21.99
1981-10-06,18.23
1981-10-11,35.77
1981-10-16,51.5
1981-10-21,16.09
1981-10-26,23.11
1981-11-01,2.42
1981-11-06,41.7
1981-11-11,1.59
1981-11-16,1.68
1981-11-21,3.83
1981-11-26,43.04
1981-12-01,1.99
1981-12-06,1.4
1981-12-11,5.89
1981-12-16,1.45
1981-12-21,2.88
1981-12-26,3.72
1982-01-01,10.23
1982-01-06,0.63
1982-01-11,3.94
1982-01-16,5.57
1982-01-21,1.26
1982-01-26,37.41
1982-02-01,7.18
1982-02-06,4.97
1982-02-11,5.64
1982-02-16,1.75
1982-02-21,2.33
1982-02-26,2.82
1982-03-01,6.48
1982-03-06,2.36
1982-03-11,43.6
1982-03-16,6.88
1982-03-21,4.85
1982-03-26,4.46
1982-04-01,8.34
1982-04-06,11.62
1982-04-11,0.66
1982-04-16,3.89
1982-04-21,4.61
1982-04-26,27.84
1982-05-01,5.73
1982-05-06,18.83
1982-05-11,56.5
1982-05-16,32.17
1982-05-21,29.41
1982-05-26,96.04
1982-06-01,4.39
1982-06-06,8.66
1982-06-11,23.49
1982-06-16,11.77
1982-06-21,11.05
1982-06-26,26.2
1982-07-01,20.94
1982-07-06,20.37
1982-07-11,11.84
1982-07-16,0.66
1982-07-21,0.92
1982-07-26,4.81
1982-08-01,1.03
1982-08-06,30.96
1982-08-11,81.04
1982-08-16,1.11
1982-08-21,11.07
1982-08-26,23.45
1982-09-01,1.57
1982-09-06,1.49
1982-09-11,20.36
1982-09-16,1.53
1982-09-21,9.15
1982-09-26,1.44
1982-10-01,4.02
1982-10-06,45.6
1982-10-11,1.76
1982-10-16,1.69
1982-10-21,1.85
1982-10-26,19.85
1982-11-01,1.16
1982-11-06,4.83
1982-11-11,28.4
1982-11-16,6.42
1982-11-21,7.02
1982-11-26,31.7
1982-12-01,34.4
1982-12-06,13.45
1982-12-11,4.87
1982-12-16,1.07
1982-12-21,17.18
1982-12-26,29.42
1983-01-01,0.9
1983-01-06,2.85
1983-01-11,0.82
1983-01-16,0.99
1983-01-21,6.65
1983-01-26,10.79
1983-02-01,25.01
1983-02-06,1.39
1983-02-11,2.99
1983-02-16,3.87
1983-02-21,1.77
1983-02-26,1.79
1983-03-01,25.07
1983-03-06,4.69
1983-03-11,2.17
1983-03-16,15.64
1983-03-21,2.32
1983-03-26,47.88
1983-04-01,62.83
1983-04-06,2.68
1983-04-11,5.42
1983-04-16,0.77
1983-04-21,45.82
1983-04-26,34.42
1983-05-01,7.09
1983-05-06,9.28
1983-05-11,42.94
1983-05-16,16.52
1983-05-21,28.69
1983-05-26,26.0
1983-06-01,26.75
1983-06-06,1.23
1983-06-11,29.37
1983-06-16,21.1
1983-06-21,7.3
1983-06-26,29.61
1983-07-01,18.42
1983-07-06,0.68
1983-07-11,11.3
1983-07-16,1.2
1983-07-21,0.82
1983-07-26,4.32
1983-08-01,15.37
1983-08-06,2.37
1983-08-11,1.04
1983-08-16,1.39
1983-08-21,12.55
1983-08-26,32.32
1983-09-01,2.06
1983-09-06,16.67
1983-09-11,29.41
1983-09-16,6.19
1983-09-21,7.21
1983-09-26,1.94
1983-10-01,7.05
1983-10-06,6.11
1983-10-11,41.19
1983-10-16,80.35
1983-10-21,7.02
1983-10-26,7.26
1983-11-01,34.64
1983-11-06,2.95
1983-11-11,1.24
1983-11-16,20.37
1983-11-21,14.64
1983-11-26,35.53
1983-12-01,25.05
1983-12-06,1.79
1983-12-11,2.32
1983-12-16,2.46
1983-12-21,3.67
1983-12-26,2.43
1984-01-01,2.75
1984-01-06,2.54
1984-01-11,3.45
1984-01-16,1.21
1984-01-21,0.78
1984-01-26,0.84
1984-02-01,1.4
1984-02-06,9.36
1984-02-11,18.04
1984-02-16,5.88
1984-02-21,1.65
1984-02-26,18.99
1984-03-01,14.2
1984-03-06,3.28
1984-03-11,16.85
1984-03-16,57.56
1984-03-21,16.03
1984-03-26,12.95
1984-04-01,10.4
1984-04-06,41.61
1984-04-11,11.73
1984-04-16,0.76
1984-04-21,32.02
1984-04-26,32.02
1984-05-01,28.03
1984-05-06,10.96
1984-05-11,7.6
1984-05-16,8.75
1984-05-21,8.68
1984-05-26,27.09
1984-06-01,4.8
1984-06-06,38.74
1984-06-11,5.4
1984-06-16,22.41
1984-06-21,54.4
1984-06-26,35.65
1984-07-01,8.28
1984-07-06,8.39
1984-07-11,1.27
1984-07-16,0.92
1984-07-21,0.79
1984-07-26,0.74
1984-08-01,1.64
1984-08-06,9.06
1984-08-11,1.04
1984-08-16,5.41
1984-08-21,25.52
1984-08-26,1.13
1984-09-01,2.08
1984-09-06,6.32
1984-09-11,2.51
1984-09-16,2.33
1984-09-21,1.46
1984-09-26,5.07
1984-10-01,10.87
1984-10-06,42.26
1984-10-11,46.31
1984-10-16,45.2
1984-10-21,24.73
1984-10-26,40.58
1984-11-01,14.92
1984-11-06,1.07
1984-11-11,0.85
1984-11-16,25.73
1984-11-21,4.4
1984-11-26,2.13
1984-12-01,5.73
1984-12-06,1.23
1984-12-11,38.35
1984-12-16,11.46
1984-12-21,12.53
1984-12-26,36.65
1985-01-01,1.19
1985-01-06,26.24
1985-01-11,1.03
1985-01-16,6.07
1985-01-21,0.93
1985-01-26,19.8
1985-02-01,6.08
1985-02-06,4.55
1985-02-11,4.54
1985-02-16,2.54
1985-02-21,78.12
1985-02-26,0.81
1985-03-01,50.95
1985-03-06,14.15
1985-03-11,11.97
1985-03-16,4.68
1985-03-21,4.04
1985-03-26,29.09
1985-04-01,9.04
1985-04-06,17.42
1985-04-11,15.74
1985-04-16,4.58
1985-04-21,11.41
1985-04-26,24.87
1985-05-01,4.91
1985-05-06,22.15
1985-05-11,39.92
1985-05-16,2.53
1985-05-21,10.01
1985-05-26,44.89
1985-06-01,86.25
1985-06-06,28.11
1985-06-11,45.27
1985-06-16,7.69
1985-06-21,32.16
1985-06-26,2.31
1985-07-01,3.51
1985-07-06,4.9
1985-07-11,9.89
1985-07-16,0.8
1985-07-21,32.02
1985-07-26,1.78
1985-08-01,40.35
1985-08-06,10.63
1985-08-11,30.67
1985-08-16,47.78
1985-08-21,58.25
1985-08-26,1.25
1985-09-01,1.68
1985-09-06,13.67
1985-09-11,41.17
1985-09-16,1.59
1985-09-21,84.67
1985-09-26,36.48
