year_month,rainfall_mm
1981-01,7.02
1981-02,18.27
1981-03,61.11
1981-04,40.55
1981-05,196.48
1981-06,213.88
1981-07,107.61
1981-08,107.00999999999999
1981-09,55.49
1981-10,166.69
1981-11,94.26
1981-12,17.33
1982-01,59.04
1982-02,24.689999999999998
1982-03,68.63000000000001
1982-04,56.96
1982-05,238.68
1982-06,85.56
1982-07,59.54
1982-08,148.66000000000003
1982-09,35.54
1982-10,74.77
1982-11,79.53
1982-12,100.39
1983-01,23.0
1983-02,36.82
1983-03,97.77000000000001
1983-04,151.94
1983-05,130.51999999999998
1983-06,115.36
1983-07,36.74
1983-08,65.03999999999999
1983-09,63.480000000000004
1983-10,148.98
1983-11,109.37
1983-12,37.72
1984-01,11.57
1984-02,55.31999999999999
1984-03,120.87
1984-04,128.54000000000002
1984-05,91.11
1984-06,161.4
1984-07,20.39
1984-08,43.800000000000004
1984-09,19.77
1984-10,209.95
1984-11,49.1
1984-12,105.95
1985-01,55.260000000000005
1985-02,96.64000000000001
1985-03,114.88
1985-04,83.06
1985-05,124.41
1985-06,201.79
1985-07,52.900000000000006
1985-08,188.93
1985-09,179.26000000000002
1985-10,91.56
1985-11,143.31
1985-12,43.61
1986-01,8.65
1986-02,38.129999999999995
1986-03,34.47
1986-04,105.68
1986-05,101.84
1986-06,94.22
1986-07,121.69999999999999
1986-08,140.5
1986-09,186.72
1986-10,269.28000000000003
1986-11,74.68
1986-12,30.380000000000003
1987-01,34.57
1987-02,87.73
1987-03,120.64
1987-04,48.88
1987-05,191.11
1987-06,104.32
1987-07,88.46000000000001
1987-08,180.88
1987-09,92.45
1987-10,68.4
1987-11,107.81
1987-12,95.75999999999999
1988-01,24.189999999999998
1988-02,22.87
1988-03,90.02000000000001
1988-04,153.82
1988-05,60.94
1988-06,49.19
1988-07,116.66
1988-08,62.650000000000006
1988-09,122.5
1988-10,65.47
1988-11,87.71
1988-12,42.379999999999995
1989-01,27.58
1989-02,28.610000000000003
1989-03,73.49
1989-04,17.63
1989-05,119.72
1989-06,125.89
1989-07,111.58
1989-08,167.0
1989-09,93.09
1989-10,96.07999999999998
1989-11,6.41
1989-12,16.97
1990-01,32.330000000000005
1990-02,71.95
1990-03,129.32999999999998
1990-04,111.23
1990-05,222.98000000000002
1990-06,140.24
1990-07,71.98
1990-08,66.8
1990-09,44.59
1990-10,66.44
1990-11,53.45
1990-12,39.17
1991-01,34.83
1991-02,6.87
1991-03,43.08
1991-04,105.55
1991-05,126.94
1991-06,47.53
1991-07,41.19
1991-08,41.08
1991-09,78.93
1991-10,72.51
1991-11,76.61
1991-12,74.59
1992-01,22.4
1992-02,25.26
1992-03,75.44
1992-04,107.76
1992-05,53.18
1992-06,147.99
1992-07,290.83
1992-08,71.5
1992-09,116.60000000000001
1992-10,56.15
1992-11,213.43
1992-12,124.74
1993-01,41.94
1993-02,41.59
1993-03,57.24
1993-04,85.34
1993-05,155.33
1993-06,113.19999999999999
1993-07,190.85
1993-08,60.50999999999999
1993-09,247.33
1993-10,42.190000000000005
1993-11,70.49000000000001
1993-12,31.55
1994-01,19.73
1994-02,58.69
1994-03,37.51
1994-04,325.59000000000003
1994-05,57.09
1994-06,77.8
1994-07,147.18
1994-08,109.36000000000001
1994-09,49.14
1994-10,85.38
1994-11,156.85000000000002
1994-12,22.61
1995-01,37.99
1995-02,24.08
1995-03,30.55
1995-04,94.41
1995-05,251.10000000000002
1995-06,182.82
1995-07,79.23
1995-08,87.78
1995-09,57.53
1995-10,19.0
1995-11,21.11
1995-12,52.77
1996-01,31.060000000000002
1996-02,18.48
1996-03,50.12
1996-04,66.43
1996-05,133.23000000000002
1996-06,102.54
1996-07,119.07
1996-08,111.42
1996-09,132.1
1996-10,82.03
1996-11,112.97999999999999
1996-12,21.33
1997-01,27.77
1997-02,113.34
1997-03,59.92
1997-04,85.04
1997-05,130.24
1997-06,165.68
1997-07,111.85
1997-08,92.7
1997-09,114.0
1997-10,64.16
1997-11,69.78999999999999
1997-12,64.78
1998-01,60.06
1998-02,18.23
1998-03,114.38000000000001
1998-04,66.6
1998-05,49.54
1998-06,193.70999999999998
1998-07,198.75
1998-08,35.18
