date,rainfall_mm,SPI_1,SPI_category
1981-01-01,7.02,-1.426477979170241,Moderate Drought
1981-02-01,18.27,-0.9131003012441409,Near Normal
1981-03-01,61.11,-0.5508533682236709,Near Normal
1981-04-01,40.55,-1.1375872636649254,Moderate Drought
1981-05-01,196.48,0.82488421793948,Near Normal
1981-06-01,213.88,1.4837984776332005,Moderately Wet
1981-07-01,107.61,0.07141990483148045,Near Normal
1981-08-01,107.01,0.08393244142470419,Near Normal
1981-09-01,55.49,-0.7762532490868653,Near Normal
1981-10-01,166.69,1.3045849017928561,Moderately Wet
1981-11-01,94.26,0.4619410833573344,Near Normal
1981-12-01,17.33,-1.1767412658877994,Moderate Drought
1982-01-01,59.04,1.304891996437137,Moderately Wet
1982-02-01,24.69,-0.6449451889097935,Near Normal
1982-03-01,68.63000000000001,-0.3239040374121937,Near Normal
1982-04-01,56.96,-0.8690294057468808,Near Normal
1982-05-01,238.68,1.4998505569305447,Moderately Wet
1982-06-01,85.56,-0.8105705820889365,Near Normal
1982-07-01,59.54,-0.8658607305881459,Near Normal
1982-08-01,148.66000000000005,0.7456511068865808,Near Normal
1982-09-01,35.54,-1.105824333814643,Moderate Drought
1982-10-01,74.77,-0.400181617481415,Near Normal
1982-11-01,79.53,0.15706962708869385,Near Normal
1982-12-01,100.39,1.7341548608040347,Very Wet
1983-01-01,23.0,-0.5874296860098046,Near Normal
1983-02-01,36.82,-0.13829074769240507,Near Normal
1983-03-01,97.77,0.5555246194822792,Near Normal
1983-04-01,151.94,0.6853658011425685,Near Normal
1983-05-01,130.51999999999998,-0.230110562151767,Near Normal
1983-06-01,115.36,-0.27774484970334046,Near Normal
1983-07-01,36.74,-1.3104207157674155,Moderate Drought
1983-08-01,65.03999999999999,-0.5828702570011046,Near Normal
1983-09-01,63.48,-0.6442596166570437,Near Normal
1983-10-01,148.98,0.9761317353835072,Near Normal
1983-11-01,109.37,0.7746775194889812,Near Normal
1983-12-01,37.72,-0.46215937300016996,Near Normal
1984-01-01,11.57,-1.1875749920688652,Moderate Drought
1984-02-01,55.31999999999999,0.634430370405013,Near Normal
1984-03-01,120.87,1.2526695053526409,Moderately Wet
1984-04-01,128.54000000000002,0.30241309698155483,Near Normal
1984-05-01,91.11,-0.8604523493469766,Near Normal
1984-06-01,161.4,0.5454530267742719,Near Normal
1984-07-01,20.39,-1.629217020928865,Severe Drought
1984-08-01,43.8,-0.9203229449821427,Near Normal
1984-09-01,19.77,-1.3663424293613626,Moderate Drought
1984-10-01,209.95,2.1068934268560082,Extremely Wet
1984-11-01,49.1,-0.4727496814146822,Near Normal
1984-12-01,105.95,1.9290089718611814,Very Wet
1985-01-01,55.260000000000005,1.1064187456144559,Moderately Wet
1985-02-01,96.64,2.360313429852869,Extremely Wet
1985-03-01,114.88,1.0718947059429669,Moderately Wet
1985-04-01,83.06,-0.4418898511057497,Near Normal
1985-05-01,124.41,-0.32783673113838774,Near Normal
1985-06-01,201.79,1.2676285747962255,Moderately Wet
1985-07-01,52.900000000000006,-0.995329077149126,Near Normal
1985-08-01,188.93,1.3854448801914958,Moderately Wet
1985-09-01,179.26000000000002,1.2684090645350419,Moderately Wet
1985-10-01,91.56,-0.0887909532232011,Near Normal
1985-11-01,143.31,1.4771444051480211,Moderately Wet
1985-12-01,43.61,-0.2557401798119337,Near Normal
1986-01-01,8.65,-1.3408929530218363,Moderate Drought
1986-02-01,38.13,-0.08357373878929047,Near Normal
1986-03-01,34.47,-1.3548334443962438,Moderate Drought
1986-04-01,105.68,-0.07170223708343602,Near Normal
1986-05-01,101.84,-0.6888317612575423,Near Normal
1986-06-01,94.22,-0.6557292786507063,Near Normal
1986-07-01,121.7,0.3461501763742834,Near Normal
1986-08-01,140.5,0.616008266306294,Near Normal
1986-09-01,186.72,1.391647174413198,Moderately Wet
1986-10-01,269.28000000000003,3.207239353624313,Extremely Wet
1986-11-01,74.68,0.056687647258218316,Near Normal
1986-12-01,30.380000000000003,-0.7193948361583453,Near Normal
1987-01-01,34.57,0.02006648119083677,Near Normal
1987-02-01,87.73,1.988154231893518,Very Wet
1987-03-01,120.64,1.2457282359262258,Moderately Wet
1987-04-01,48.88,-1.0012626471836754,Moderate Drought
1987-05-01,191.11,0.7389939515797169,Near Normal
1987-06-01,104.32,-0.4751406914998836,Near Normal
